"日期","时间","剩余电量","行驶里程","位置"
"2020年5月1日","3:20","98%","2052","光大安石停车场"
"2020年5月1日","3:42","92%","2071","翔殷三村"
"2020年5月1日","14:45","92%","2071","翔殷三村"
"2020年5月1日","14:53","91%","2072.9","硕和国际停车场"
"2020年5月1日","17:14","91%","2072.9","硕和国际停车场"
"2020年5月1日","17:25","91%","2074.8","翔殷三村"
"2020年5月2日","8:55","91%","2074.8","翔殷三村"
"2020年5月2日","9:20","86%","2093","光大安石停车场"
"2020年5月2日","18:41","86%","2093","光大安石停车场"
"2020年5月2日","19:18","81%","2109","世纪汇停车场"
"2020年5月2日","21:26","81%","2109","世纪汇停车场"
"2020年5月2日","22:04","78%","2118","襄阳北路"
"2020年5月2日","23:33","78%","2118","襄阳北路"
"2020年5月3日","0:08","74%","2136","翔殷三村"
"2020年5月3日","15:12","74%","2136","翔殷三村"
"2020年5月3日","15:28","73%","2141","国霞路停车场"
"2020年5月3日","17:17","73%","2141","国霞路停车场"
"2020年5月3日","17:43","71%","2148","太平洋停车场"
"2020年5月3日","18:23","71%","2148","太平洋停车场"
"2020年5月3日","19:09","66%","2166","科投大厦停车场"
"2020年5月3日","21:44","66%","2166","科投大厦停车场"
"2020年5月3日","22:18","62%","2185","翔殷三村"
"2020年5月4日","14:49","62%","2185","翔殷三村"
"2020年5月4日","15:00","61%","2186","硕和国际停车场"
"2020年5月4日","17:52","61%","2186","硕和国际停车场"
"2020年5月4日","18:04","60%","2190","翔殷三村"
"2020年5月5日","12:28","60%","2190","翔殷三村"
"2020年5月5日","13:29","54%","2208","宝安公路殡仪馆"
"2020年5月5日","13:52","54%","2208","宝安公路殡仪馆"
"2020年5月5日","15:05","47%","2230","市光三村"
"2020年5月5日","15:30","47%","2230","市光三村"
"2020年5月5日","16:22","40%","2254","花园港路美术馆停车场"
"2020年5月5日","18:11","40%","2254","花园港路美术馆停车场"
"2020年5月5日","18:46","37%","2262","宜家停车场"
"2020年5月5日","20:10","37%","2262","宜家停车场"
"2020年5月5日","21:01","29%","2287","翔殷三村"
"2020年5月6日","8:13","29%","2287","翔殷三村"
"2020年5月6日","9:01","23%","2306","光大安石停车场"
"2020年5月6日","19:57","73%","2306","光大安石停车场"
"2020年5月6日","20:37","66%","2333","科投大厦停车场"
"2020年5月6日","22:36","66%","2333","科投大厦停车场"
"2020年5月6日","23:14","60%","2352","翔殷三村"
"2020年5月7日","8:12","60%","2352","翔殷三村"
"2020年5月7日","9:06","53%","2371","光大安石停车场"
"2020年5月7日","20:39","53%","2371","光大安石停车场"
"2020年5月7日","21:07","48%","2389","翔殷三村"
"2020年5月8日","8:08","48%","2389","翔殷三村"
"2020年5月8日","8:57","42%","2407","光大安石停车场"
"2020年5月8日","20:40","98%","2407","光大安石停车场"
"2020年5月8日","21:09","93%","2427","翔殷三村"
"2020年5月9日","8:12","93%","2427","翔殷三村"
"2020年5月9日","8:52","87%","2445","光大安石停车场"
"2020年5月9日","18:13","87%","2445","光大安石停车场"
"2020年5月9日","19:35","78%","2477","中友大厦停车场"
"2020年5月9日","20:59","78%","2477","中友大厦停车场"
"2020年5月9日","21:38","73%","2496","翔殷三村"
"2020年5月10日","10:46","73%","2496","翔殷三村"
"2020年5月10日","11:15","71%","2504","军工路易安友贴膜店"
"2020年5月10日","13:48","71%","2504","军工路易安友贴膜店"
"2020年5月10日","14:12","68%","2512","翔殷三村"
"2020年5月10日","15:20","68%","2512","翔殷三村"
"2020年5月10日","15:40","66%","2517","国霞路停车场"
"2020年5月10日","17:21","66%","2517","国霞路停车场"
"2020年5月10日","17:39","64%","2522","太平洋停车场"
"2020年5月10日","18:01","64%","2522","太平洋停车场"
"2020年5月10日","18:19","63%","2525","国霞路停车场"
"2020年5月10日","18:27","63%","2525","国霞路停车场"
"2020年5月10日","18:41","61%","2530","翔殷三村"
"2020年5月10日","18:47","61%","2530","翔殷三村"
"2020年5月10日","19:31","53%","2556","科投大厦停车场"
"2020年5月10日","21:51","53%","2556","科投大厦停车场"
"2020年5月10日","22:32","47%","2576","翔殷三村"
"2020年5月11日","8:08","47%","2576","翔殷三村"
"2020年5月11日","9:05","40%","2594","光大安石停车场"
"2020年5月11日","21:30","40%","2594","光大安石停车场"
"2020年5月11日","21:55","35%","2613","翔殷三村"
"2020年5月12日","8:11","35%","2613","翔殷三村"
"2020年5月12日","8:57","28%","2631","光大安石停车场"
"2020年5月12日","20:39","87%","2631","光大安石停车场"
"2020年5月12日","21:11","81%","2649","翔殷三村"
"2020年5月13日","8:08","81%","2649","翔殷三村"
"2020年5月13日","9:05","76%","2667","光大安石停车场"
"2020年5月13日","19:55","76%","2667","光大安石停车场"
"2020年5月13日","20:35","69%","2694","科投大厦停车场"
"2020年5月13日","22:37","69%","2694","科投大厦停车场"
"2020年5月13日","23:12","63%","2714","翔殷三村"
"2020年5月14日","8:11","63%","2714","翔殷三村"
"2020年5月14日","8:53","58%","2732","光大安石停车场"
"2020年5月14日","21:07","58%","2732","光大安石停车场"
"2020年5月14日","21:33","52%","2750","翔殷三村"
"2020年5月15日","8:10","52%","2750","翔殷三村"
"2020年5月15日","8:53","46%","2769","光大安石停车场"
"2020年5月15日","20:38","46%","2769","光大安石停车场"
"2020年5月15日","21:07","41%","2787","翔殷三村"
