"日期","时间","剩余电量","行驶里程","位置"
"2020年5月16日","13:05","41%","2787","翔殷三村"
"2020年5月16日","13:17","40%","2789","硕和国际停车场"
"2020年5月16日","16:03","40%","2789","硕和国际停车场"
"2020年5月16日","16:45","35%","2808","太仓路停车场"
"2020年5月16日","20:48","35%","2808","太仓路停车场"
"2020年5月16日","21:47","31%","2822","翔殷三村"
"2020年5月17日","13:32","31%","2822","翔殷三村"
"2020年5月17日","13:41","30%","2824","硕和国际停车场"
"2020年5月17日","17:01","30%","2824","硕和国际停车场"
"2020年5月17日","17:11","30%","2826","太平洋停车场"
"2020年5月17日","18:24","30%","2825","太平洋停车场"
"2020年5月17日","19:05","24%","2849","科投大厦停车场"
"2020年5月17日","22:12","24%","2849","科投大厦停车场"
"2020年5月17日","22:52","19%","2869","翔殷三村"
"2020年5月18日","8:17","19%","2869","翔殷三村"
"2020年5月18日","9:11","13%","2887","光大安石停车场"
"2020年5月18日","21:46","78%","2887","光大安石停车场"
"2020年5月18日","22:12","72%","2905","翔殷三村"
"2020年5月19日","8:07","72%","2905","翔殷三村"
"2020年5月19日","8:55","66%","2924.2","光大安石停车场"
"2020年5月19日","21:10","66%","2924.2","光大安石停车场"
"2020年5月19日","21:36","60%","2942.5","翔殷三村"
"2020年5月20日","8:09","60%","2942.5","翔殷三村"
"2020年5月20日","8:59","54%","2961.1","光大安石停车场"
"2020年5月20日","18:55","99%","2961.1","光大安石停车场"
"2020年5月20日","19:52","89%","3006.3","连城广场"
"2020年5月20日","21:50","89%","3006.3","连城广场"
"2020年5月20日","22:52","74%","3062.5","翔殷三村"
"2020年5月21日","8:07","74%","3062.5","翔殷三村"
"2020年5月21日","8:53","68%","3081.1","光大安石停车场"
"2020年5月21日","18:30","68%","3081.1","光大安石停车场"
"2020年5月21日","19:04","63%","3099.3","翔殷三村"
"2020年5月22日","8:09","63%","3099.3","翔殷三村"
"2020年5月22日","9:01","56%","3117.8","光大安石停车场"
"2020年5月22日","20:51","56%","3117.8","光大安石停车场"
"2020年5月22日","21:19","51%","3136","翔殷三村"
"2020年5月23日","17:36","51%","3136","翔殷三村"
"2020年5月23日","17:40","50%","3136.7","洗车店"
"2020年5月23日","18:03","50%","3136.7","洗车店"
"2020年5月23日","18:37","44%","3157","中友大厦停车场"
"2020年5月23日","21:07","44%","3157","中友大厦停车场"
"2020年5月23日","21:47","38%","3175","翔殷三村"
"2020年5月24日","12:42","38%","3175","翔殷三村"
"2020年5月24日","13:48","25%","3230.9","连城广场"
"2020年5月24日","14:25","25%","3230.9","连城广场"
"2020年5月24日","14:51","22%","3242",""
"2020年5月24日","16:34","21%","3246",""
"2020年5月24日","18:14","31%","3247.1",""
"2020年5月24日","18:59","23%","3275.3","科投大厦停车场"
"2020年5月24日","22:12","23%","3275.3","科投大厦停车场"
"2020年5月24日","22:53","18%","3294.7","翔殷三村"
"2020年5月25日","8:09","18%","3294.7","翔殷三村"
"2020年5月25日","9:06","11%","3313.1","光大安石停车场"
"2020年5月25日","18:35","60%","3313.1","光大安石停车场"
"2020年5月25日","19:39","52%","3343.1","卢湾体育馆"
"2020年5月25日","21:10","52%","3343.1","卢湾体育馆"
"2020年5月25日","21:57","46%","3364","翔殷三村"
"2020年5月26日","8:08","46%","3364","翔殷三村"
"2020年5月26日","8:56","40%","3382.5","光大安石停车场"
"2020年5月26日","20:39","58%","3382.5","光大安石停车场"
"2020年5月26日","21:07","53%","3402.3","翔殷三村"
"2020年5月27日","8:15","53%","3402.3","翔殷三村"
"2020年5月27日","9:10","46%","3420.9","光大安石停车场"
"2020年5月27日","21:17","100%","3420.9","光大安石停车场"
"2020年5月27日","21:43","95%","3439.1","翔殷三村"
"2020年5月28日","8:08","95%","3439.1","翔殷三村"
"2020年5月28日","8:54","89%","3457.7","光大安石停车场"
"2020年5月28日","20:37","89%","3457.7","光大安石停车场"
"2020年5月28日","21:04","84%","3475.9","翔殷三村"
"2020年5月29日","8:11","84%","3475.9","翔殷三村"
"2020年5月29日","8:54","79%","3494.5","光大安石停车场"
"2020年5月29日","18:30","79%","3494.5","光大安石停车场"
"2020年5月29日","19:20","74%","3512.6","翔殷三村"
"2020年5月30日","4:51","74%","3512.6","翔殷三村"
"2020年5月30日","5:17","71%","3524","虹口足球场"
"2020年5月30日","9:07","71%","3524","虹口足球场"
"2020年5月30日","9:47","67%","3535.8","翔殷三村"
"2020年5月30日","12:53","67%","3535.8","翔殷三村"
"2020年5月30日","13:58","63%","3550.7","西南小区"
"2020年5月30日","18:15","63%","3550.7","西南小区"
"2020年5月30日","18:40","60%","3562.1","中友大厦停车场"
"2020年5月30日","20:45","60%","3562.1","中友大厦停车场"
"2020年5月30日","21:33","54%","3583.3","翔殷三村"
"2020年5月31日","18:09","54%","3583.3","翔殷三村"
"2020年5月31日","18:52","48%","3603.3","科投大厦停车场"
