"日期","时间","剩余电量","行驶里程","位置"
"2020年6月1日","22:17","48%","3603.3","科投大厦停车场"
"2020年6月1日","22:54","43%","3622.7","翔殷三村"
"2020年6月1日","8:09","43%","3622.7","翔殷三村"
"2020年6月1日","8:59","37%","3641.3","光大安石停车场"
"2020年6月1日","14:18","37%","3641.3","光大安石停车场"
"2020年6月1日","14:35","35%","3646.4","交通银行张江支行"
"2020年6月1日","14:48","35%","3646.4","交通银行张江支行"
"2020年6月1日","15:05","34%","3651.5","光大安石停车场"
"2020年6月1日","18:39","34%","3651.5","光大安石停车场"
"2020年6月1日","19:21","26%","3675.4","卢湾体育馆"
"2020年6月1日","21:35","26%","3675.4","卢湾体育馆"
"2020年6月1日","22:17","20%","3696.6","翔殷三村"
"2020年6月2日","8:07","20%","3696.6","翔殷三村"
"2020年6月2日","8:58","15%","3715.2","光大安石停车场"
"2020年6月2日","18:29","46%","3715.2","光大安石停车场"
"2020年6月2日","19:01","40%","3733.4","翔殷三村"
"2020年6月3日","8:03","40%","3733.4","翔殷三村"
"2020年6月3日","8:40","35%","3752","光大安石停车场"
"2020年6月3日","21:58","82%","3752","光大安石停车场"
"2020年6月3日","22:20","77%","3770.2","翔殷三村"
"2020年6月4日","8:05","77%","3770.2","翔殷三村"
"2020年6月4日","8:42","70%","3789","光大安石停车场"
"2020年6月4日","18:29","70%","3789","光大安石停车场"
"2020年6月4日","19:34","61%","3816","科投大厦停车场"
"2020年6月4日","21:19","61%","3816","科投大厦停车场"
"2020年6月4日","21:59","56%","3835.4","翔殷三村"
"2020年6月5日","7:59","56%","3835.4","翔殷三村"
"2020年6月5日","8:52","50%","3853.9","光大安石停车场"
"2020年6月5日","18:22","90%","3853.9","光大安石停车场"
"2020年6月5日","19:30","82%","3876.6","翔殷三村"
"2020年6月6日","17:57","81%","3876.6","翔殷三村"
"2020年6月6日","18:29","76%","3897.7","中友大厦停车场"
"2020年6月6日","21:06","76%","3897.7","中友大厦停车场"
"2020年6月6日","21:48","71%","3915.6","翔殷三村"
"2020年6月7日","12:26","71%","3915.6","翔殷三村"
"2020年6月7日","12:30","71%","3916.3","洗车店"
"2020年6月7日","12:52","71%","3916.3","洗车店"
"2020年6月7日","13:55","56%","3970.8","连城广场"
"2020年6月7日","17:57","56%","3970.8","连城广场"
"2020年6月7日","18:53","46%","4009.6","科投大厦停车场"
"2020年6月7日","22:29","46%","4009.6","科投大厦停车场"
"2020年6月7日","23:09","42%","4029.3","翔殷三村"
"2020年6月8日","8:12","42%","4029.3","翔殷三村"
"2020年6月8日","9:01","36%","4047.9","光大安石停车场"
"2020年6月8日","18:42","36%","4047.9","光大安石停车场"
"2020年6月8日","19:31","28%","4074.5","卢湾体育馆"
"2020年6月8日","21:06","28%","4074.5","卢湾体育馆"
"2020年6月8日","22:05","22%","4094.7","翔殷三村"
"2020年6月9日","8:01","22%","4094.7","翔殷三村"
"2020年6月9日","8:45","16%","4113.4","光大安石停车场"
"2020年6月9日","20:38","78%","4113.4","光大安石停车场"
"2020年6月9日","21:07","73%","4131.6","翔殷三村"
"2020年6月10日","8:03","73%","4131.6","翔殷三村"
"2020年6月10日","8:47","67%","4150.3","光大安石停车场"
"2020年6月10日","17:49","67%","4150.3","光大安石停车场"
"2020年6月10日","20:20","61%","4168.5","翔殷三村"
"2020年6月11日","8:04","61%","4168.5","翔殷三村"
"2020年6月11日","8:44","55%","4187.2","光大安石停车场"
"2020年6月11日","14:15","53%","4187.2","光大安石停车场"
"2020年6月11日","15:23","46%","4215.3","平安大厦停车场"
"2020年6月11日","15:45","46%","4215.3","平安大厦停车场"
"2020年6月11日","16:37","40%","4235.4","光大安石停车场"
"2020年6月11日","21:58","40%","4235.4","光大安石停车场"
"2020年6月11日","23:00","27%","4279.1","翔殷三村"
"2020年6月12日","8:10","27%","4279.1","翔殷三村"
"2020年6月12日","8:51","20%","4297.6","光大安石停车场"
"2020年6月12日","19:31","73%","4297.6","光大安石停车场"
"2020年6月12日","20:09","67%","4315.8","翔殷三村"
"2020年6月13日","12:43","67%","4315.8","翔殷三村"
"2020年6月13日","13:43","63%","4327","玻璃博物馆"
"2020年6月13日","15:48","63%","4327","玻璃博物馆"
"2020年6月13日","16:36","58%","4344","翔殷三村"
"2020年6月14日","12:27","56%","4344","翔殷三村"
"2020年6月14日","12:54","53%","4353","虹口少体馆"
"2020年6月14日","14:14","53%","4353","虹口少体馆"
"2020年6月14日","14:54","50%","4363","翔殷三村"
"2020年6月14日","18:20","50%","4363","翔殷三村"
"2020年6月14日","19:09","45%","4385","科投大厦停车场"
"2020年6月14日","22:21","45%","4385","科投大厦停车场"
"2020年6月14日","23:00","39%","4404.5","翔殷三村"
"2020年6月15日","8:13","39%","4404.5","翔殷三村"
"2020年6月15日","9:23","31%","4423.1","光大安石停车场"
"2020年6月15日","18:43","45%","4423.1","光大安石停车场"
"2020年6月15日","19:19","37%","4449.1","卢湾体育馆"
"2020年6月15日","21:19","37%","4449.1","卢湾体育馆"
"2020年6月15日","22:04","32%","4469.4","翔殷三村"
"2020年6月16日","7:59","32%","4469.4","翔殷三村"
"2020年6月16日","8:35","25%","4488","光大安石停车场"
"2020年6月16日","18:52","61%","4488","光大安石停车场"
"2020年6月16日","19:41","56%","4506.3","翔殷三村"
"2020年6月17日","8:08","56%","4506.3","翔殷三村"
"2020年6月17日","9:04","48%","4525","光大安石停车场"
