"日期","时间","剩余电量","行驶里程","位置"
"2020年9月1日","8:05","27%","8184.9","翔殷三村"
"2020年9月1日","8:53","21%","8203.4","光大安石停车场"
"2020年9月1日","17:13","69%","8203.4","光大安石停车场"
"2020年9月1日","20:10","60%","8238.7","闵行区莘城公寓"
"2020年9月1日","20:19","59%","8239","闵行区莘城公寓"
"2020年9月1日","20:57","51%","8271","光大安石停车场"
"2020年9月1日","22:02","51%","8271","光大安石停车场"
"2020年9月1日","22:23","45%","8289","翔殷三村"
"2020年9月2日","8:08","44%","8289","翔殷三村"
"2020年9月2日","9:11","38%","8307","光大安石停车场"
"2020年9月2日","17:28","37%","8307","光大安石停车场"
"2020年9月2日","17:44","35%","8311","长泰停车场"
"2020年9月2日","19:32","35%","8311","长泰停车场"
"2020年9月2日","20:17","28%","8332","科投大厦停车场"
"2020年9月2日","22:46","28%","8332","科投大厦停车场"
"2020年9月2日","23:20","24%","8351","翔殷三村"
"2020年9月3日","8:03","24%","8351","翔殷三村"
"2020年9月3日","9:02","18%","8370","光大安石停车场"
"2020年9月3日","22:42","76%","8370","光大安石停车场"
"2020年9月3日","21:14","71%","8388","翔殷三村"
"2020年9月4日","8:01","70%","8388","翔殷三村"
"2020年9月4日","8:55","63%","8407","光大安石停车场"
"2020年9月4日","18:58","62%","8407","光大安石停车场"
"2020年9月4日","19:35","56%","8425","翔殷三村"
"2020年9月5日","13:38","55%","8425","翔殷三村"
"2020年9月5日","14:53","41%","8478","星云文教馆中春路9388号"
"2020年9月5日","15:02","41%","8478","星云文教馆中春路9388号"
"2020年9月5日","15:32","39%","8482","万科停车场"
"2020年9月5日","21:43","39%","8482","万科停车场"
"2020年9月5日","22:11","36%","8491","田林十三村"
"2020年9月5日","22:11","36%","8491","田林十三村"
"2020年9月5日","22:54","29%","8517","翔殷三村"
"2020年9月6日","8:25","29%","8517","翔殷三村"
"2020年9月6日","9:10","23%","8543.4","交大慧谷停车场"
"2020年9月6日","17:20","22%","8543.4","交大慧谷停车场"
"2020年9月6日","17:44","21%","8547.8","徐汇青少年水上运动中心停车场"
"2020年9月6日","19:41","21%","8547.8","徐汇青少年水上运动中心停车场"
"2020年9月6日","20:28","16%","8569.1","翔殷三村"
"2020年9月7日","8:06","16%","8569.1","翔殷三村"
"2020年9月7日","9:05","11%","8587.7","光大安石停车场"
"2020年9月7日","9:41","14%","8587.7","光大安石停车场"
"2020年9月7日","10:10","9%","8606","翔殷三村"
"2020年9月7日","10:14","9%","8606","翔殷三村"
"2020年9月7日","10:36","4%","8624.4","光大安石停车场"
"2020年9月7日","18:35","43%","8624.4","光大安石停车场"
"2020年9月7日","19:22","36%","8650.5","卢湾体育馆停车场"
"2020年9月7日","21:09","36%","8650.5","卢湾体育馆停车场"
"2020年9月7日","21:49","31%","8670.3","翔殷三村"
"2020年9月8日","8:07","30%","8670.3","翔殷三村"
"2020年9月8日","9:01","24%","8688.9","光大安石停车场"
"2020年9月8日","20:58","65%","8688.9","光大安石停车场"
"2020年9月8日","21:20","60%","8707.2","翔殷三村"
"2020年9月9日","8:05","59%","8707.2","翔殷三村"
"2020年9月9日","8:59","53%","8725.9","光大安石停车场"
"2020年9月9日","18:43","51%","8725.9","光大安石停车场"
"2020年9月9日","19:29","45%","8750.5","科投大厦停车场"
"2020年9月9日","22:42","44%","8750.5","科投大厦停车场"
"2020年9月9日","23:27","38%","8769.9","翔殷三村"
"2020年9月10日","8:04","38%","8769.9","翔殷三村"
"2020年9月10日","8:56","33%","8788.6","光大安石停车场"
"2020年9月10日","19:19","83%","8788.6","光大安石停车场"
"2020年9月10日","20:08","77%","8809.8","大连路1619号"
"2020年9月10日","20:12","77%","8809.8","大连路1619号"
"2020年9月10日","21:02","72%","8828.5","田林十三村"
"2020年9月10日","21:20","71%","8828.5","田林十三村"
"2020年9月10日","22:20","63%","8854.7","翔殷三村"
"2020年9月11日","8:07","63%","8854.7","翔殷三村"
"2020年9月11日","9:09","56%","8873.3","光大安石停车场"
"2020年9月11日","20:48","99%","8873.3","光大安石停车场"
"2020年9月11日","21:13","94%","8891.5","翔殷三村"
"2020年9月12日","10:25","94%","8891.5","翔殷三村"
"2020年9月12日","10:41","94%","8892.9","比亚迪4s店"
"2020年9月12日","10:41","94%","8892.9","比亚迪4s店"
"2020年9月12日","10:54","93%","8894.2","翔殷三村"
"2020年9月12日","12:26","93%","8894.2","翔殷三村"
"2020年9月12日","13:00","88%","8914","宝山交易中心停车场"
"2020年9月12日","13:52","88%","8914","宝山交易中心停车场"
"2020年9月12日","14:44","81%","8943.2","象源丽都"
"2020年9月12日","14:44","81%","8943.2","象源丽都"
"2020年9月12日","15:07","80%","8945.6","铜川路1688号"
"2020年9月12日","18:11","80%","8945.6","铜川路1688号"
"2020年9月12日","19:04","73%","8971.9","翔殷三村"
"2020年9月13日","8:58","73%","8971.9","翔殷三村"
"2020年9月13日","9:51","66%","8999.5","交大慧谷停车场"
"2020年9月13日","17:38","66%","8999.7","交大慧谷停车场"
"2020年9月13日","18:00","64%","9004.1","徐汇青少年水上运动中心停车场"
"2020年9月13日","19:57","64%","9004.1","徐汇青少年水上运动中心停车场"
"2020年9月13日","20:50","58%","9025.4","翔殷三村"
"2020年9月14日","8:03","57%","9025.4","翔殷三村"
"2020年9月14日","8:56","53%","9044","光大安石停车场"
"2020年9月14日","21:42","50%","9044","光大安石停车场"
"2020年9月14日","22:08","44%","9062","翔殷三村"
"2020年9月15日","8:04","44%","9052","翔殷三村"
"2020年9月15日","9:08","37%","9080.9","光大安石停车场"
"2020年9月15日","19:45","37%","9080.9","光大安石停车场"
"2020年9月15日","20:09","32%","9099","翔殷三村"
"2020年9月16日","8:11","32%","9099","翔殷三村"
"2020年9月16日","9:05","27%","9117.6","光大安石停车场"
"2020年9月16日","19:17","75%","9117.6","光大安石停车场"
"2020年9月16日","19:58","69%","9144.7","科投大厦停车场"
"2020年9月16日","22:25","69%","9144.7","科投大厦停车场"
"2020年9月16日","23:01","64%","9164.1","翔殷三村"
"2020年9月17日","8:09","64%","9164.1","翔殷三村"
"2020年9月17日","8:57","59%","9182.8","光大安石停车场"
"2020年9月17日","18:32","59%","9182.8","光大安石停车场"
"2020年9月17日","19:47","49%","9217.4","中友大厦停车场"
"2020年9月17日","21:58","49%","9217.4","中友大厦停车场"
"2020年9月18日","9:23","47%","9219.6","弘仁比亚迪4S店军工路"
"2020年9月22日","20:05","46%","9220","弘仁比亚迪4S店军工路"
"2020年9月22日","22:22","45%","9221","翔殷三村"
"2020年9月23日","8:08","45%","9222","翔殷三村"
"2020年9月23日","8:47","40%","9240","光大安石停车场"
"2020年9月23日","21:13","40%","9240","光大安石停车场"
"2020年9月23日","21:39","35%","9258","翔殷三村"
"2020年9月24日","8:00","35%","9258","翔殷三村"
"2020年9月24日","8:58","30%","9277","光大安石停车场"
"2020年9月24日","18:57","81%","9277","光大安石停车场"
"2020年9月24日","19:47","72%","9314","中友大厦停车场"
"2020年9月24日","21:53","72%","9314","中友大厦停车场"
