"日期","时间","剩余电量","行驶里程","位置"
"2020年9月24日","22:58","67%","9332","翔殷三村"
"2020年9月25日","8:09","67%","9332","翔殷三村"
"2020年9月25日","8:47","63%","9350.6","光大安石停车场"
"2020年9月25日","20:36","100%","9350.6","光大安石停车场"
"2020年9月25日","21:02","96%","9368.9","翔殷三村"
"2020年9月26日","8:21","96%","9368.9","翔殷三村"
"2020年9月26日","8:47","91%","9388.8","宝山交易中心停车场"
"2020年9月26日","10:50","91%","9388.8","宝山交易中心停车场"
"2020年9月26日","11:26","88%","9403.1","翔殷三村"
"2020年9月26日","12:19","88%","9403.5","翔殷三村"
"2020年9月26日","15:28","37%","9559.7","南通市海门区长江南路（行政学校）"
"2020年9月26日","16:14","37%","9559.7","南通市海门区长江南路（行政学校）"
"2020年9月26日","16:30","36%","9561.1","南通市海门区长江南路（海门区政府）"
"2020年9月26日","20:19","100%","9561.1","南通市海门区长江南路（海门区政府）"
"2020年9月26日","22:41","50%","9708.8","翔殷三村"
"2020年9月27日","8:02","50%","9708.8","翔殷三村"
"2020年9月27日","9:03","44%","9728","光大安石停车场"
"2020年9月27日","20:40","44%","9728","光大安石停车场"
"2020年9月27日","21:10","38%","9746.2","翔殷三村"
"2020年9月28日","8:10","38%","9746.2","翔殷三村"
"2020年9月28日","8:57","32%","9764.9","光大安石停车场"
"2020年9月28日","19:09","84%","9764.9","光大安石停车场"
"2020年9月28日","19:44","77%","9790.9","卢湾体育馆停车场"
"2020年9月28日","21:10","77%","9790.9","卢湾体育馆停车场"
"2020年9月28日","22:25","70%","9818.1","翔殷三村"
"2020年9月29日","8:05","70%","9818.1","翔殷三村"
"2020年9月29日","8:54","64%","9836.8","光大安石停车场"
"2020年9月29日","21:28","100%","9836.8","光大安石停车场"
"2020年9月29日","21:53","96%","9855.2","翔殷三村"
"2020年9月30日","9:28","95%","9855.6","翔殷三村"
"2020年9月30日","10:24","87%","9893.4","闵行区莘城公寓"
"2020年9月30日","10:38","87%","9893.4","闵行区莘城公寓"
"2020年9月30日","21:11","81%","9915","巨鹿路758-1号"
"2020年9月30日","13:25","81%","9915.1","巨鹿路758-1号"
"2020年9月30日","14:08","78%","9922.4","美罗城停车场"
"2020年9月30日","14:53","78%","9922.4","美罗城停车场"
"2020年9月30日","15:34","74%","9935.7","闵行区莘城公寓"
"2020年9月30日","15:34","74%","9935.7","闵行区莘城公寓"
"2020年9月30日","16:57","60%","9987.7","翔殷三村"
