"日期","时间","剩余电量","行驶里程","位置"
"2020年8月18日","8:05","50%","7434.9","翔殷三村"
"2020年8月18日","9:04","44%","7453.5","光大安石停车场"
"2020年8月18日","18:31","43%","7453.5","光大安石停车场"
"2020年8月18日","19:51","32%","7493.5","近铁城市广场停车场"
"2020年8月18日","22:30","32%","7493.5","近铁城市广场停车场"
"2020年8月18日","22:44","30%","7496.2","象源丽都"
"2020年8月18日","22:44","30%","7496.2","象源丽都"
"2020年8月18日","23:16","24%","7518.6","翔殷三村"
"2020年8月19日","8:08","24%","7518.6","翔殷三村"
"2020年8月19日","9:05","19%","7537.1","光大安石停车场"
"2020年8月19日","19:00","67%","7537.1","光大安石停车场"
"2020年8月19日","19:53","60%","7564.9","科投大厦停车场"
"2020年8月19日","22:15","60%","7564.9","科投大厦停车场"
"2020年8月19日","23:06","54%","7584.2","翔殷三村"
"2020年8月20日","8:08","54%","7584.2","翔殷三村"
"2020年8月20日","8:51","49%","7602.9","光大安石停车场"
"2020年8月20日","20:56","47%","7602.9","光大安石停车场"
"2020年8月20日","21:24","42%","7621","翔殷三村"
"2020年8月21日","8:10","40%","7621","翔殷三村"
"2020年8月21日","8:52","35%","7639.6","光大安石停车场"
"2020年8月21日","19:08","83%","7639.6","光大安石停车场"
"2020年8月21日","20:28","71%","7685.4","连城商业广场"
"2020年8月21日","21:03","71%","7685.4","连城商业广场"
"2020年8月21日","22:16","53%","7747.2","翔殷三村"
"2020年8月22日","17:00","53%","7747.2","翔殷三村"
"2020年8月22日","17:05","53%","7747.9","美特力洗车"
"2020年8月22日","17:52","53%","7747.9","美特利洗车"
"2020年8月22日","18:36","51%","7751.3","翔殷三村"
"2020年8月23日","8:25","51%","7751.3","翔殷三村"
"2020年8月23日","9:17","44%","7777.5","交大慧谷停车场"
"2020年8月23日","17:11","43%","7777.6","交大慧谷停车场"
"2020年8月23日","18:00","37%","7802.4","翔殷三村"
"2020年8月24日","8:14","37%","7802.4","翔殷三村"
"2020年8月24日","9:03","31%","7821","光大安石停车场"
"2020年8月24日","22:05","93%","7821","光大安石停车场"
"2020年8月24日","22:27","88%","7839.3","翔殷三村"
"2020年8月25日","8:17","87%","7839.3","翔殷三村"
"2020年8月25日","9:04","82%","7858","光大安石停车场"
"2020年8月25日","18:10","80%","7858","光大安石停车场"
"2020年8月25日","19:09","72%","7894.1","梅川路1182号"
"2020年8月25日","20:50","72%","7894.1","梅川路1182号"
"2020年8月25日","21:39","70%","7896.3","象源丽都"
"2020年8月25日","21:39","70%","7896.3","象源丽都"
"2020年8月25日","22:11","65%","7919.3","翔殷三村"
"2020年8月26日","8:08","64%","7919.3","翔殷三村"
"2020年8月26日","8:51","59%","7938","光大安石停车场"
"2020年8月26日","19:04","58%","7938","光大安石停车场"
"2020年8月26日","19:57","50%","7965.8","徐汇区嘉善路516号"
"2020年8月26日","22:43","50%","7965.8","徐汇区嘉善路516号"
"2020年8月26日","23:23","45%","7985.4","翔殷三村"
"2020年8月27日","8:11","45%","7985.4","翔殷三村"
"2020年8月27日","8:51","39%","8004.3","光大安石停车场"
"2020年8月27日","19:39","37%","8004.3","光大安石停车场"
"2020年8月27日","20:08","32%","8022.5","翔殷三村"
"2020年8月28日","8:16","32%","8022.5","翔殷三村"
"2020年8月28日","9:01","26%","8041.1","光大安石停车场"
"2020年8月28日","18:59","75%","8041.1","光大安石停车场"
"2020年8月28日","19:47","69%","8059.3","翔殷三村"
"2020年8月30日","8:22","68%","8059.4","翔殷三村"
"2020年8月30日","9:06","61%","8085.6","交大慧谷停车场"
"2020年8月30日","17:21","61%","8085.6","交大慧谷停车场"
"2020年8月30日","17:49","60%","8089.8","徐汇青少年水上学校"
"2020年8月30日","20:24","59%","8089.8","徐汇青少年水上学校"
"2020年8月30日","21:18","53%","8111.3","翔殷三村"
"2020年8月31日","8:15","53%","8111.3","翔殷三村"
"2020年8月31日","9:16","46%","8130","光大安石停车场"
"2020年8月31日","19:14","44%","8130","光大安石停车场"
"2020年8月31日","20:15","34%","8162.9","长泰广场停车场"
"2020年8月31日","23:17","34%","8162.9","长泰广场停车场"
"2020年8月31日","23:49","27%","8184.9","翔殷三村"
