"日期","时间","剩余电量","行驶里程","位置"
"2020年8月1日","18:08","80%","6645.7","翔殷三村"
"2020年8月1日","18:12","80%","6646.4","美特利洗车"
"2020年8月1日","18:34","80%","6646.5","美特力洗车"
"2020年8月1日","18:41","79%","6647.7","翔殷三村"
"2020年8月2日","13:13","78%","6647.7","翔殷三村"
"2020年8月2日","13:51","71%","6670.6","近铁城市广场停车场"
"2020年8月2日","14:04","70%","6670.6","近铁城市广场停车场"
"2020年8月2日","14:15","70%","6672.4","梅川路1160号"
"2020年8月2日","16:51","70%","6672.5","梅川路1160号"
"2020年8月2日","17:37","61%","6694.3","翔殷三村"
"2020年8月3日","8:04","61%","6694.3","翔殷三村"
"2020年8月3日","9:01","53%","6713","光大安石停车场"
"2020年8月3日","18:58","51%","6713","光大安石停车场"
"2020年8月3日","19:55","39%","6758.4","连城商业广场"
"2020年8月3日","23:16","23%","6815.9","翔殷三村"
"2020年8月4日","8:02","23%","6815.9","翔殷三村"
"2020年8月4日","8:51","17%","6834.4","光大安石停车场"
"2020年8月4日","21:55","58%","6834.5","光大安石停车场"
"2020年8月4日","22:18","51%","6852.8","翔殷三村"
"2020年8月5日","7:59","51%","6852.8","翔殷三村"
"2020年8月5日","9:02","44%","6871.4","光大安石停车场"
"2020年8月5日","20:42","43%","6871.4","光大安石停车场"
"2020年8月5日","21:36","38%","6889.7","翔殷三村"
"2020年8月6日","8:13","37%","6889.7","翔殷三村"
"2020年8月6日","9:00","30%","6908.4","光大安石停车场"
"2020年8月6日","20:43","30%","6908.4","光大安石停车场"
"2020年8月6日","21:11","25%","6926.6","翔殷三村"
"2020年8月7日","8:09","24%","6926.6","翔殷三村"
"2020年8月7日","8:57","18%","6945.2","光大安石停车场"
"2020年8月7日","18:50","67%","6945.2","光大安石停车场"
"2020年8月7日","19:36","61%","6963.3","翔殷三村"
"2020年8月8日","16:45","60%","6963.3","翔殷三村"
"2020年8月8日","17:22","57%","6968.7","国定路214号"
"2020年8月8日","20:46","57%","6968.7","国定路214号"
"2020年8月8日","21:43","55%","6972.3","翔殷三村"
"2020年8月9日","8:37","55%","6972.3","翔殷三村"
"2020年8月9日","9:05","50%","6992.2","宝山交易中心"
"2020年8月9日","9:27","50%","6992.2","宝山交易中心"
"2020年8月9日","9:38","49%","6994.7","建设银行牡丹江路支行"
"2020年8月9日","10:19","49%","6994.7","建设银行牡丹江路支行"
"2020年8月9日","10:45","45%","7005.5","高镜仁丰地产"
"2020年8月9日","11:55","45%","7005.5","高镜仁丰地产"
"2020年8月9日","12:30","42%","7012.6","翔殷三村"
"2020年8月9日","14:51","42%","7012.6","翔殷三村"
"2020年8月9日","15:29","35%","7034.4","象源丽都"
"2020年8月9日","15:36","35%","7034.6","象源丽都"
"2020年8月9日","16:33","29%","7053.1","百联又一城"
"2020年8月9日","18:55","29%","7053.1","百联又一城"
"2020年8月9日","19:36","24%","7072.4","象源丽都"
"2020年8月9日","20:30","17%","7097","翔殷三村"
"2020年8月10日","8:09","16%","7097","翔殷三村"
"2020年8月10日","9:08","11%","7115.6","光大安石停车场"
"2020年8月10日","19:08","53%","7115.6","光大安石停车场"
"2020年8月10日","19:45","47%","7133.7","翔殷三村"
"2020年8月11日","8:06","45%","7133.7","翔殷三村"
"2020年8月11日","8:46","40%","7152.4","光大安石停车场"
"2020年8月11日","21:11","37%","7152.4","光大安石停车场"
"2020年8月11日","21:33","33%","7170.5","翔殷三村"
"2020年8月12日","8:07","32%","7170.5","翔殷三村"
"2020年8月12日","8:48","27%","7189.1","光大安石停车场"
"2020年8月12日","21:41","81%","7189.1","光大安石停车场"
"2020年8月12日","22:09","76%","7207.7","翔殷三村"
"2020年8月13日","8:04","75%","7207.7","翔殷三村"
"2020年8月13日","8:42","70%","7226.5","光大安石停车场"
"2020年8月13日","18:29","68%","7226.5","光大安石停车场"
"2020年8月13日","19:08","62%","7247","永惠大厦"
"2020年8月13日","21:48","62%","7247","永惠大厦"
"2020年8月13日","22:27","59%","7260.2","上海市测绘院"
"2020年8月13日","22:27","59%","7260.2","上海市测绘院"
"2020年8月13日","22:53","55%","7277.4","翔殷三村"
"2020年8月14日","8:07","55%","7277.4","翔殷三村"
"2020年8月14日","9:00","49%","7295.9","光大安石停车场"
"2020年8月14日","19:26","97%","7295.9","光大安石停车场"
"2020年8月14日","19:48","93%","7310.5","龙阳路地铁站"
"2020年8月14日","19:48","93%","7310.5","龙阳路地铁站"
"2020年8月14日","20:18","89%","7329.7","翔殷三村"
"2020年8月15日","10:29","89%","7329.8","翔殷三村"
"2020年8月15日","11:13","84%","7340.9","仁丰地产高境店 殷高西路189号"
"2020年8月15日","11:43","84%","7340.9","仁丰地产高境店 殷高西路189号"
"2020年8月15日","12:16","81%","7348","翔殷三村"
"2020年8月16日","11:04","80%","7348","翔殷三村"
"2020年8月16日","11:37","74%","7371","象源丽都"
"2020年8月16日","11:37","74%","7371","象源丽都"
"2020年8月16日","11:58","73%","7372.7","百联中环"
"2020年8月16日","13:17","73%","7372.7","百联中环"
"2020年8月16日","13:37","71%","7375.6","象源丽都"
"2020年8月16日","13:38","71%","7375.6","象源丽都"
"2020年8月16日","14:21","65%","7398.1","翔殷三村"
"2020年8月17日","8:06","65%","7398.1","翔殷三村"
"2020年8月17日","8:55","59%","7416.8","光大安石停车场"
"2020年8月17日","18:35","57%","7416.8","光大安石停车场"
"2020年8月17日","19:04","52%","7434.9","翔殷三村"
