"日期","时间","剩余电量","行驶里程","位置"
"2020年7月1日","8:06","27%","5288","翔殷三村"
"2020年7月1日","9:15","20%","5306.7","光大安石停车场"
"2020年7月1日","21:03","19%","5306.7","光大安石停车场"
"2020年7月1日","21:30","13%","5324.8","翔殷三村"
"2020年7月2日","8:01","13%","5324.8","翔殷三村"
"2020年7月2日","8:42","7%","5343.3","光大安石停车场"
"2020年7月2日","18:43","55%","5343.3","光大安石停车场"
"2020年7月2日","19:31","48%","5370.4","科投大厦"
"2020年7月2日","22:24","48%","5370.4","科投大厦"
"2020年7月2日","23:16","42%","5389.7","翔殷三村"
"2020年7月3日","8:03","42%","5389.7","翔殷三村"
"2020年7月3日","8:51","36%","5408.2","光大安石停车场"
"2020年7月3日","20:57","92%","5408.2","光大安石停车场"
"2020年7月3日","21:25","86%","5426.4","翔殷三村"
"2020年7月4日","14:13","86%","5426.4","翔殷三村"
"2020年7月4日","15:10","79%","5452.2","科投大厦"
"2020年7月4日","17:59","79%","5452.2","科投大厦"
"2020年7月4日","18:43","74%","5471.4","翔殷三村"
"2020年7月5日","11:31","74%","5471.4","翔殷三村"
"2020年7月5日","12:21","69%","5490.8","复兴广场停车场"
"2020年7月5日","14:43","69%","5490.8","复兴广场停车场"
"2020年7月5日","15:49","64%","5503.5","同济铁岭校区"
"2020年7月5日","16:33","64%","5503.5","同济铁岭校区"
"2020年7月5日","16:59","62%","5509.5","长海医院宿舍"
"2020年7月5日","17:40","62%","5509.5","长海医院宿舍"
"2020年7月5日","18:02","60%","5513.9","大学路停车场（靠近复旦）"
"2020年7月5日","19:04","60%","5513.9","大学路停车场（靠近复旦）"
"2020年7月5日","20:40","56%","5526.6","翔殷三村"
"2020年7月6日","8:09","56%","5526.6","翔殷三村"
"2020年7月6日","9:20","48%","5545.2","光大安石停车场"
"2020年7月6日","18:34","47%","5545.2","光大安石停车场"
"2020年7月6日","17:22","38%","5572","卢湾体育馆"
"2020年7月6日","21:16","38%","5572","卢湾体育馆"
"2020年7月6日","22:18","32%","5591.9","翔殷三村"
"2020年7月7日","8:04","32%","5591.9","翔殷三村"
"2020年7月7日","8:48","26%","5610.5","光大安石停车场"
"2020年7月7日","20:37","84%","5610.5","光大安石停车场"
"2020年7月7日","21:03","79%","5628.8","翔殷三村"
"2020年7月8日","8:04","78%","5628.8","翔殷三村"
"2020年7月8日","9:00","73%","5647.4","光大安石停车场"
"2020年7月8日","21:18","71%","5647.4","光大安石停车场"
"2020年7月8日","21:51","66%","5666.6","翔殷三村"
"2020年7月9日","8:06","66%","5666.6","翔殷三村"
"2020年7月9日","8:51","59%","5685.3","光大安石停车场"
"2020年7月9日","18:36","58%","5685.3","光大安石停车场"
"2020年7月9日","19:35","48%","5722.8","中友大厦"
"2020年7月9日","21:55","48%","5722.8","中友大厦"
"2020年7月9日","22:24","43%","5740.8","翔殷三村"
"2020年7月10日","8:06","42%","5749.8","翔殷三村"
"2020年7月10日","8:57","36%","5759.4","光大安石停车场"
"2020年7月10日","23:39","67%","5759.4","光大安石停车场"
"2020年7月11日","0:01","61%","5777.7","翔殷三村"
"2020年7月13日","8:07","59%","5777.7","翔殷三村"
"2020年7月13日","8:57","53%","5796.4","光大安石停车场"
"2020年7月13日","18:42","51%","5796.4","光大安石停车场"
"2020年7月13日","19:22","44%","5822.4","卢湾体育馆"
"2020年7月13日","21:12","44%","5822.4","卢湾体育馆"
"2020年7月13日","21:53","40%","5831.4","中友大厦"
"2020年7月13日","21:53","40%","5831.4","中友大厦"
"2020年7月13日","22:25","35%","5849.9","翔殷三村"
"2020年7月14日","8:03","35%","5849.9","翔殷三村"
"2020年7月14日","8:47","29%","5868.5","光大安石停车场"
"2020年7月14日","21:19","67%","5868.5","光大安石停车场"
"2020年7月14日","21:53","62%","5886.9","翔殷三村"
"2020年7月15日","8:03","60%","5886.9","翔殷三村"
"2020年7月15日","9:09","55%","5905.5","光大安石停车场"
"2020年7月15日","23:20","53%","5905.5","光大安石停车场"
"2020年7月15日","23:46","47%","5923.8","翔殷三村"
"2020年7月16日","8:04","47%","5923.8","翔殷三村"
"2020年7月16日","8:56","38%","5942.5","光大安石停车场"
"2020年7月16日","18:53","37%","5942.5","光大安石停车场"
"2020年7月16日","19:35","31%","5963.3","科投大厦"
"2020年7月16日","21:23","31%","5963.3","科投大厦"
"2020年7月16日","22:05","25%","5982.6","翔殷三村"
"2020年7月17日","8:04","24%","5982.6","翔殷三村"
"2020年7月17日","8:47","18%","6001.2","光大安石停车场"
"2020年7月17日","19:30","70%","6001.2","光大安石停车场"
"2020年7月17日","20:14","64%","6019.5","翔殷三村"
"2020年7月18日","13:03","63%","6019.5","翔殷三村"
"2020年7月18日","14:25","48%","6075.1","连城商业广场"
"2020年7月18日","20:43","48%","6075.1","连城商业广场"
"2020年7月18日","21:59","32%","6132","翔殷三村"
"2020年7月20日","8:05","31%","6132","翔殷三村"
"2020年7月20日","8:56","24%","6150.6","光大安石停车场"
"2020年7月20日","19:05","74%","6150.6","光大安石停车场"
"2020年7月20日","19:37","66%","6176.7","卢湾体育馆"
"2020年7月20日","21:15","66%","6176.7","卢湾体育馆"
"2020年7月20日","22:23","58%","6203.7","翔殷三村"
"2020年7月21日","8:03","57%","6203.7","翔殷三村"
"2020年7月21日","9:00","50%","6222.3","光大安石停车场"
"2020年7月21日","20:38","49%","6222.3","光大安石停车场"
"2020年7月21日","21:09","44%","6240.6","翔殷三村"
"2020年7月22日","8:08","42%","6240.6","翔殷三村"
"2020年7月22日","8:57","36%","6259.3","光大安石停车场"
"2020年7月22日","19:19","35%","6259.3","光大安石停车场"
"2020年7月22日","20:19","28%","6277.6","翔殷三村"
"2020年7月23日","8:11","27%","6277.6","翔殷三村"
"2020年7月23日","8:57","21%","6296.2","光大安石停车场"
"2020年7月23日","18:30","69%","6296.2","光大安石停车场"
"2020年7月23日","19:30","61%","6319.4","金大地四平路773号"
"2020年7月23日","22:54","61%","6319.4","金大地四平路773号"
"2020年7月23日","23:40","58%","6330.6","翔殷三村"
"2020年7月24日","8:09","58%","6330.6","翔殷三村"
"2020年7月24日","8:48","52%","6349.4","光大安石停车场"
"2020年7月24日","20:18","50%","6349.4","光大安石停车场"
"2020年7月24日","21:25","44%","6367.6","翔殷三村"
"2020年7月26日","13:46","42%","6367.6","翔殷三村"
"2020年7月26日","13:56","42%","6369.5","硕和国际停车场"
"2020年7月26日","18:14","42%","6369.5","硕和国际停车场"
"2020年7月26日","18:22","41%","6371.4","翔殷三村"
"2020年7月27日","8:07","40%","6371.4","翔殷三村"
"2020年7月27日","8:59","34%","6389.8","光大安石停车场"
"2020年7月27日","19:44","70%","6389.8","光大安石停车场"
"2020年7月27日","20:57","59%","6428.9","九亭U天地"
"2020年7月27日","20:57","59%","6428.9","九亭U天地"
"2020年7月27日","21:46","47%","6469.2","翔殷三村"
"2020年7月28日","8:05","46%","6469.2","翔殷三村"
"2020年7月28日","8:46","41%","6487.9","光大安石停车场"
"2020年7月28日","19:05","39%","6487.9","光大安石停车场"
"2020年7月28日","19:54","32%","6506.2","翔殷三村"
"2020年7月29日","8:08","31%","6506.2","翔殷三村"
"2020年7月29日","8:48","24%","6524.8","光大安石停车场"
"2020年7月29日","20:13","75%","6524.8","光大安石停车场"
"2020年7月29日","20:40","70%","6542.9","翔殷三村"
"2020年7月30日","8:08","69%","6542.9","翔殷三村"
"2020年7月30日","8:51","63%","6561.6","光大安石停车场"
"2020年7月30日","18:56","61%","6561.6","光大安石停车场"
"2020年7月30日","19:44","54%","6589.6","卢湾体育馆"
"2020年7月30日","21:25","54%","6589.6","卢湾体育馆"
"2020年7月30日","22:12","49%","6608.9","翔殷三村"
"2020年7月31日","8:06","49%","6608.9","翔殷三村"
"2020年7月31日","8:51","43%","6627.5","光大安石停车场"
"2020年7月31日","18:44","87%","6627.5","光大安石停车场"
"2020年7月31日","19:37","82%","6645.7","翔殷三村"
