"日期","时间","剩余电量","行驶里程","位置"
"2020年11月29日","8:55","71%","2434.7","翔殷三村"
"2020年11月29日","9:18","66%","2446.6","柳营路125号明凯大厦"
"2020年11月29日","18:13","66%","2446.6","柳营路125号明凯大厦"
"2020年11月29日","18:47","64%","2452","新世界停车场"
"2020年11月29日","23:03","64%","2452","新世界停车场"
"2020年11月29日","23:32","60%","2465.7","田林十三村"
"2020年11月29日","23:32","60%","2465.7","田林十三村"
"2020年11月30日","0:07","51%","2491.7","翔殷三村"
"2020年11月30日","8:13","51%","2491.7","翔殷三村"
"2020年11月30日","9:10","45%","2510.5","光大安石停车场"
"2020年11月30日","20:42","45%","2510.5","光大安石停车场"
"2020年11月30日","21:12","38%","2528","翔殷三村"
