"日期","时间","剩余电量","行驶里程","位置"
"2020年11月1日","18:06","69%","1287.5","翔殷三村"
"2020年11月1日","19:44","66%","1299","虹口区花园路168弄"
"2020年11月1日","20:15","66%","1299","虹口区花园路168弄"
"2020年11月1日","20:40","65%","1305.4","镇坪路175号"
"2020年11月1日","20:40","65%","1305.4","镇坪路175号"
"2020年11月1日","21:21","60%","1321.3","翔殷三村"
"2020年11月2日","8:06","60%","1321.3","翔殷三村"
"2020年11月2日","9:01","55%","1340","光大安石停车场"
"2020年11月2日","20:56","55%","1340","光大安石停车场"
"2020年11月2日","21:18","50%","1358.3","翔殷三村"
"2020年11月3日","8:08","50%","1358.3","翔殷三村"
"2020年11月3日","8:53","45%","1377","光大安石停车场"
"2020年11月3日","19:16","45%","1377","光大安石停车场"
"2020年11月3日","19:45","39%","1395.4","翔殷三村"
"2020年11月4日","8:11","39%","1395.4","翔殷三村"
"2020年11月4日","8:52","34%","1414.3","光大安石停车场"
"2020年11月4日","18:58","34%","1414.3","光大安石停车场"
"2020年11月4日","19:27","29%","1432.6","翔殷三村"
"2020年11月5日","9:20","29%","1432.6","翔殷三村"
"2020年11月5日","9:48","27%","1438.3","国定路323号创业大厦"
"2020年11月5日","11:28","27%","1438.3","国定路323号创业大厦"
"2020年11月5日","11:48","25%","1442.9","翔殷三村"
"2020年11月5日","12:55","25%","1442.9","翔殷三村"
"2020年11月5日","13:17","20%","1461.4","光大安石停车场"
"2020年11月5日","18:35","46%","1461.4","光大安石停车场"
"2020年11月5日","19:48","38%","1496.6","中友大厦停车场"
"2020年11月5日","21:48","38%","1496.6","中友大厦停车场"
"2020年11月5日","22:25","33%","1514.7","翔殷三村"
"2020年11月6日","8:12","33%","1514.7","翔殷三村"
"2020年11月6日","8:52","28%","1533.4","光大安石停车场"
"2020年11月6日","20:45","28%","1533.4","光大安石停车场"
"2020年11月6日","21:14","23%","1553.3","松花江路双阳路"
"2020年11月6日","22:15","90%","1553.3","松花江路双阳路"
"2020年11月6日","22:32","89%","1556.8","翔殷三村"
"2020年11月8日","11:24","89%","1556.8","翔殷三村"
"2020年11月8日","11:49","88%","1560.2","合生汇停车场"
"2020年11月8日","13:15","88%","1560.2","合生汇停车场"
"2020年11月8日","11:29","87%","1563","硕和国际停车场"
"2020年11月8日","17:38","87%","1563","硕和国际停车场"
"2020年11月8日","18:01","86%","1565","翔殷三村"
"2020年11月9日","8:12","86%","1565","翔殷三村"
"2020年11月9日","8:56","81%","1583.8","光大安石停车场"
"2020年11月9日","18:46","81%","1583.8","光大安石停车场"
"2020年11月9日","19:22","75%","1609.8","卢湾体育馆"
"2020年11月9日","21:15","75%","1609.8","卢湾体育馆"
"2020年11月9日","21:52","70%","1629.7","翔殷三村"
"2020年11月10日","8:09","70%","1629.7","翔殷三村"
"2020年11月10日","8:48","65%","1648.4","光大安石停车场"
"2020年11月10日","20:46","65%","1648.4","光大安石停车场"
"2020年11月10日","21:12","60%","1666.7","翔殷三村"
"2020年11月11日","8:14","60%","1666.7","翔殷三村"
"2020年11月11日","8:53","55%","1685.5","光大安石停车场"
"2020年11月11日","20:44","55%","1685.5","光大安石停车场"
"2020年11月11日","21:06","50%","1703.7","翔殷三村"
"2020年11月12日","8:13","50%","1703.7","翔殷三村"
"2020年11月12日","8:57","44%","1722.6","光大安石停车场"
"2020年11月12日","18:57","44%","1722.6","光大安石停车场"
"2020年11月12日","19:53","37%","1754.4","中友大厦停车场"
"2020年11月12日","21:49","37%","1754.4","中友大厦停车场"
"2020年11月12日","22:23","32%","1772.6","翔殷三村"
"2020年11月13日","8:14","32%","1772.6","翔殷三村"
"2020年11月13日","8:52","27%","1791.4","光大安石停车场"
"2020年11月13日","18:15","51%","1791.4","光大安石停车场"
"2020年11月13日","19:01","46%","1809.9","世纪大道"
"2020年11月13日","19:01","46%","1809.9","世纪大道"
"2020年11月13日","20:10","43%","1816.9","大世界"
"2020年11月13日","22:37","43%","1816.9","大世界"
"2020年11月13日","23:28","39%","1835.3","闵行区莘城公寓"
"2020年11月13日","23:28","39%","1835.3","闵行区莘城公寓"
"2020年11月14日","0:10","28%","1874.1","翔殷三村"
"2020年11月16日","8:19","28%","1874.2","翔殷三村"
"2020年11月16日","9:09","22%","1892.8","光大安石停车场"
"2020年11月16日","18:49","73%","1892.8","光大安石停车场"
"2020年11月16日","19:22","68%","1916.6","卢湾体育馆停车场"
"2020年11月16日","21:16","68%","1916.6","卢湾体育馆停车场"
"2020年11月16日","21:58","63%","1936.7","翔殷三村"
"2020年11月17日","8:12","63%","1936.7","翔殷三村"
"2020年11月17日","9:01","58%","1955.6","光大安石停车场"
"2020年11月17日","21:08","58%","1955.6","光大安石停车场"
"2020年11月17日","21:32","52%","1973.8","翔殷三村"
"2020年11月18日","8:13","52%","1973.8","翔殷三村"
"2020年11月18日","8:45","47%","1992.6","光大安石停车场"
"2020年11月18日","21:36","55%","1992.6","光大安石停车场"
"2020年11月18日","22:02","50%","2010.9","翔殷三村"
"2020年11月19日","8:18","50%","2010.9","翔殷三村"
"2020年11月19日","9:00","45%","2029.7","光大安石停车场"
"2020年11月19日","18:43","45%","2029.7","光大安石停车场"
"2020年11月19日","19:47","36%","2061.4","中友大厦停车场"
"2020年11月19日","21:45","36%","2061.4","中友大厦停车场"
"2020年11月19日","22:13","32%","2079.6","翔殷三村"
"2020年11月20日","8:17","32%","2079.6","翔殷三村"
"2020年11月20日","9:10","26%","2098.4","光大安石停车场"
"2020年11月20日","19:01","26%","2098.4","光大安石停车场"
"2020年11月20日","19:46","20%","2119.6","松花江路双阳路"
"2020年11月20日","20:29","84%","2119.6","松花江路双阳路"
"2020年11月20日","20:42","83%","2123","翔殷三村"
"2020年11月22日","8:13","83%","2123","翔殷三村"
"2020年11月22日","8:43","79%","2135.3","明凯大厦停车场"
"2020年11月22日","17:56","79%","2135.3","明凯大厦停车场"
"2020年11月22日","18:15","79%","2137.3","柳营路777号"
"2020年11月22日","19:35","79%","2137.3","柳营路777号"
"2020年11月22日","20:16","75%","2152.2","翔殷三村"
"2020年11月23日","8:14","75%","2152.2","翔殷三村"
"2020年11月23日","8:59","69%","2171.1","光大安石停车场"
"2020年11月23日","18:54","69%","2171.1","光大安石停车场"
"2020年11月23日","19:29","62%","2197.2","卢湾体育馆停车场"
"2020年11月23日","21:12","62%","2197.2","卢湾体育馆停车场"
"2020年11月23日","21:54","57%","2217.1","翔殷三村"
"2020年11月24日","8:14","57%","2217.1","翔殷三村"
"2020年11月24日","9:02","51%","2236.1","光大安石停车场"
"2020年11月24日","20:39","51%","2236.1","光大安石停车场"
"2020年11月24日","21:05","46%","2254.2","翔殷三村"
"2020年11月25日","8:18","45%","2254.2","翔殷三村"
"2020年11月25日","9:14","40%","2272.9","光大安石停车场"
"2020年11月25日","21:10","40%","2272.9","光大安石停车场"
"2020年11月25日","21:37","34%","2291.2","翔殷三村"
"2020年11月26日","8:10","34%","2291.2","翔殷三村"
"2020年11月26日","9:00","28%","2310","光大安石停车场"
"2020年11月26日","19:00","81%","2310","光大安石停车场"
"2020年11月26日","20:07","71%","2344.2","中友大厦停车场"
"2020年11月26日","21:48","71%","2344.2","中友大厦停车场"
"2020年11月26日","22:24","","2362.3","翔殷三村"
"2020年11月27日","8:17","66%","2362.3","翔殷三村"
"2020年11月27日","9:05","60%","2381.2","光大安石停车场"
"2020年11月27日","18:53","87%","2381.2","光大安石停车场"
"2020年11月27日","19:37","78%","2408.8","崇明长兴岛开元名庭酒店停车场"
"2020年11月28日","20:10","78%","2408.8","崇明长兴岛开元名庭酒店停车场"
"2020年11月28日","20:41","71%","2434.7","翔殷三村"
