"日期","时间","剩余电量","行驶里程","位置"
"2020年12月1日","8:04","38%","2528","翔殷三村"
"2020年12月1日","8:34","32%","2547.8","光大安石停车场"
"2020年12月1日","18:50","84%","2547.8","光大安石停车场"
"2020年12月1日","19:48","74%","2582.7","莘城公寓"
"2020年12月1日","20:27","74%","2582.7","莘城公寓"
"2020年12月1日","21:13","63%","2621.8","翔殷三村"
"2020年12月2日","8:09","63%","2621.8","翔殷三村"
"2020年12月2日","8:40","58%","2640.6","光大安石停车场"
"2020年12月2日","20:38","58%","2640.6","光大安石停车场"
"2020年12月2日","22:11","51%","2659","翔殷三村"
"2020年12月3日","8:09","51%","2659","翔殷三村"
"2020年12月3日","8:42","46%","2677.9","光大安石停车场"
"2020年12月3日","20:42","46%","2677.9","光大安石停车场"
"2020年12月3日","21:15","39%","2696.2","翔殷三村"
"2020年12月4日","8:15","39%","2696.2","翔殷三村"
"2020年12月4日","8:59","33%","2714.9","光大安石停车场"
"2020年12月4日","20:42","58%","2714.9","光大安石停车场"
"2020年12月4日","21:09","52%","2733.3","翔殷三村"
"2020年12月6日","13:00","52%","2733.3","翔殷三村"
"2020年12月6日","13:41","47%","2753.3","科投大厦停车场"
"2020年12月6日","16:04","47%","2753.3","科投大厦停车场"
"2020年12月6日","17:17","41%","2772.6","翔殷三村"
